lesson_type,lesson_id,genre,instrument,lesson_price,student_name,student_email
individual,1,,guitar,150,Madonna Stein,ac.turpis@protonmail.net
individual,2,,guitar,150,Leslie Downs,torquent.per@protonmail.couk
individual,3,,guitar,150,Ella Wells,nunc@hotmail.org
individual,4,,guitar,150,Petra Ward,orci.ut.semper@outlook.edu
group,1,,guitar,160,Madonna Stein,ac.turpis@protonmail.net
group,1,,guitar,160,Leslie Downs,torquent.per@protonmail.couk
group,1,,guitar,160,Ella Wells,nunc@hotmail.org
group,2,,guitar,160,Madonna Stein,ac.turpis@protonmail.net
group,2,,guitar,160,Leslie Downs,torquent.per@protonmail.couk
group,2,,guitar,160,Ella Wells,nunc@hotmail.org
group,2,,guitar,160,Petra Ward,orci.ut.semper@outlook.edu
group,3,,guitar,160,Madonna Stein,ac.turpis@protonmail.net
group,3,,guitar,160,Leslie Downs,torquent.per@protonmail.couk
group,3,,guitar,160,Ella Wells,nunc@hotmail.org
group,4,,guitar,160,Madonna Stein,ac.turpis@protonmail.net
group,4,,guitar,160,Leslie Downs,torquent.per@protonmail.couk
group,4,,guitar,160,Ella Wells,nunc@hotmail.org
ensemble,1,pop,,180,Madonna Stein,ac.turpis@protonmail.net
ensemble,1,pop,,180,Leslie Downs,torquent.per@protonmail.couk
ensemble,1,pop,,180,Ella Wells,nunc@hotmail.org
ensemble,2,pop,,180,Madonna Stein,ac.turpis@protonmail.net
ensemble,2,pop,,180,Leslie Downs,torquent.per@protonmail.couk
ensemble,2,pop,,180,Ella Wells,nunc@hotmail.org
ensemble,2,pop,,180,Petra Ward,orci.ut.semper@outlook.edu
ensemble,3,pop,,180,Madonna Stein,ac.turpis@protonmail.net
ensemble,3,pop,,180,Leslie Downs,torquent.per@protonmail.couk
ensemble,3,pop,,180,Ella Wells,nunc@hotmail.org
ensemble,4,pop,,180,Madonna Stein,ac.turpis@protonmail.net
ensemble,4,pop,,180,Leslie Downs,torquent.per@protonmail.couk
ensemble,4,pop,,180,Ella Wells,nunc@hotmail.org
ensemble,1,pop,,180,Petra Ward,orci.ut.semper@outlook.edu
ensemble,1,pop,,180,Hedda Noble,lorem@aol.ca
