lesson_type,genre,instrument,lesson_price,student_name,student_email
group,,guitar,100,Madonna Stein,ac.turpis@protonmail.net
group,,guitar,100,Leslie Downs,torquent.per@protonmail.couk
group,,guitar,100,Ella Wells,nunc@hotmail.org
group,,guitar,100,Madonna Stein,ac.turpis@protonmail.net
group,,guitar,100,Leslie Downs,torquent.per@protonmail.couk
group,,guitar,100,Ella Wells,nunc@hotmail.org
group,,guitar,100,Petra Ward,orci.ut.semper@outlook.edu
group,,guitar,100,Madonna Stein,ac.turpis@protonmail.net
group,,guitar,100,Leslie Downs,torquent.per@protonmail.couk
group,,guitar,100,Ella Wells,nunc@hotmail.org
group,,guitar,100,Madonna Stein,ac.turpis@protonmail.net
group,,guitar,100,Leslie Downs,torquent.per@protonmail.couk
group,,guitar,100,Ella Wells,nunc@hotmail.org
